epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
103,,1.33353,0.85269,0.88374,,,0.37389,0.21693,1.38512,0.96104,0.89586,,,,,,,,
104,,1.32993,0.85315,0.88389,,,0.37528,0.21504,1.38698,0.96574,0.89653,,,,,,,,
105,,1.32939,0.85081,0.88356,,,0.37301,0.21623,1.38756,0.96491,0.89523,,,,,,,,
106,,1.32613,0.85126,0.88371,,,0.36973,0.21511,1.39002,0.96783,0.89519,,,,,,,,
107,,1.32524,0.84909,0.88338,,,0.36925,0.21606,1.39178,0.96859,0.89452,,,,,,,,
108,,1.32232,0.84954,0.88353,,,0.37109,0.21501,1.38939,0.96714,0.89449,,,,,,,,
109,,1.3211,0.84742,0.8832,,,0.3735,0.21492,1.39235,0.97038,0.89474,,,,,,,,
110,,1.31852,0.84787,0.88335,,,0.36999,0.21582,1.39416,0.97165,0.89424,,,,,,,,
111,,1.3176,0.84581,0.88302,,,0.36893,0.21591,1.39654,0.96847,0.89439,,,,,,,,
112,,1.31406,0.84625,0.88317,,,0.36831,0.21524,1.39473,0.97003,0.89377,,,,,,,,
113,,1.31346,0.84434,0.88284,,,0.37149,0.21472,1.39711,0.97326,0.89382,,,,,,,,
114,,1.31026,0.84478,0.88299,,,0.36745,0.21436,1.39892,0.97259,0.89249,,,,,,,,
115,,1.30931,0.84302,0.88266,,,0.37144,0.21454,1.39949,0.97187,0.89199,,,,,,,,
116,,1.3071,0.84345,0.88281,,,0.3716,0.2149,1.4013,0.97487,0.89178,,,,,,,,
117,,1.30645,0.84174,0.88248,,,0.3689,0.21453,1.40187,0.97628,0.89154,,,,,,,,
118,,1.30517,0.84217,0.88263,,,0.37171,0.2144,1.40368,0.97473,0.89242,,,,,,,,
119,,1.30265,0.84051,0.8823,,,0.36829,0.21474,1.40425,0.97789,0.89129,,,,,,,,
120,,1.30102,0.84093,0.88245,,,0.36795,0.21323,1.40606,0.97624,0.89012,,,,,,,,
121,,1.29884,0.83931,0.88212,,,0.37024,0.21342,1.40663,0.97951,0.89002,,,,,,,,
122,,1.29753,0.83973,0.88227,,,0.37097,0.21486,1.40844,0.97885,0.89051,,,,,,,,
123,,1.29439,0.83815,0.88194,,,0.36614,0.21358,1.40901,0.98112,0.88984,,,,,,,,
124,,1.29338,0.83856,0.88209,,,0.36883,0.21458,1.41082,0.97946,0.89061,,,,,,,,
125,,1.29058,0.83702,0.88176,,,0.3696,0.21454,1.41139,0.98273,0.89036,,,,,,,,
126,,1.28924,0.83743,0.88191,,,0.36789,0.2142,1.4132,0.98307,0.88958,,,,,,,,
127,,1.28678,0.83592,0.88158,,,0.36468,0.21315,1.41377,0.98134,0.88942,,,,,,,,
128,,1.28509,0.83633,0.88173,,,0.3645,0.2129,1.41558,0.98268,0.88877,,,,,,,,
129,,1.28297,0.83485,0.8814,,,0.36597,0.21326,1.41615,0.98595,0.88889,,,,,,,,
130,,1.28106,0.83525,0.88155,,,0.36931,0.21343,1.41796,0.98429,0.88891,,,,,,,,
131,,1.2842,0.83382,0.88122,,,0.3661,0.21211,1.42272,0.98756,0.88887,,,,,,,,
132,,1.28414,0.83418,0.88137,,,0.36479,0.21379,1.41853,0.9869,0.88768,,,,,,,,
133,,1.28104,0.83279,0.88104,,,0.36494,0.21273,1.42034,0.98917,0.88861,,,,,,,,
134,,1.27965,0.83315,0.88119,,,0.36855,0.21306,1.42091,0.98751,0.88761,,,,,,,,
135,,1.2801,0.83176,0.88086,,,0.36655,0.21287,1.42329,0.99078,0.88755,,,,,,,,
136,,1.2797,0.83211,0.88101,,,0.36735,0.21193,1.4251,0.99112,0.88722,,,,,,,,
137,,1.27851,0.83073,0.88073,,,0.36766,0.21285,1.42567,0.98939,0.88683,,,,,,,,
138,,1.27752,0.83108,0.88088,,,0.36693,0.21294,1.42748,0.99073,0.88689,,,,,,,,
