epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
91,8903.77,1.36352,0.87319,0.89106,0.49043,0.36745,0.37694,0.21874,1.38167,0.96066,0.90111,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,8991.85,1.35847,0.86864,0.89017,0.49511,0.3654,0.37637,0.21907,1.38224,0.95779,0.90089,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,9079.83,1.36063,0.87128,0.89184,0.50014,0.36114,0.37565,0.21833,1.38301,0.95867,0.90124,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,9168.27,1.35418,0.86853,0.89051,0.49602,0.36244,0.37464,0.21815,1.38356,0.96014,0.90106,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,9256.27,1.35894,0.86626,0.89034,0.49634,0.36086,0.37444,0.21758,1.38314,0.96126,0.90124,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,9344.25,1.35968,0.86709,0.88937,0.49731,0.36054,0.37444,0.21794,1.38339,0.96298,0.90106,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,9432.21,1.35882,0.86411,0.88948,0.49723,0.36214,0.37496,0.21878,1.38371,0.96292,0.9009,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,9521,1.35473,0.86477,0.89046,0.4943,0.36418,0.37516,0.21823,1.38426,0.96247,0.9011,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,9609.8,1.35456,0.86195,0.88735,0.4957,0.36251,0.37457,0.2181,1.38472,0.96268,0.90097,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,9697.34,1.35061,0.86258,0.88854,0.50122,0.36078,0.37383,0.2173,1.38438,0.96312,0.90108,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
101,,1.35047,0.85983,0.88543,,,,,1.38527,0.96428,0.90117,,,,,,,,
102,,1.34686,0.86041,0.88801,,,,,1.38314,0.96275,0.89942,,,,,,,,
103,,1.34658,0.85772,0.89381,,,,,1.38209,0.96183,0.89847,,,,,,,,
104,,1.34285,0.85819,0.88921,,,,,1.38462,0.96461,0.89915,,,,,,,,
105,,1.34243,0.85562,0.88935,,,,,1.38337,0.96347,0.89786,,,,,,,,
106,,1.33917,0.85613,0.88838,,,,,1.38585,0.96624,0.89791,,,,,,,,
107,,1.33874,0.85371,0.88768,,,,,1.38451,0.96513,0.89724,,,,,,,,
108,,1.33478,0.85418,0.88719,,,,,1.38724,0.96796,0.89729,,,,,,,,
109,,1.33459,0.85182,0.88661,,,,,1.38596,0.96682,0.89754,,,,,,,,
110,,1.33099,0.85229,0.88517,,,,,1.38871,0.96935,0.89705,,,,,,,,
111,,1.33045,0.85011,0.88712,,,,,1.38738,0.96821,0.89719,,,,,,,,
112,,1.32719,0.85059,0.88509,,,,,1.38612,0.96709,0.89658,,,,,,,,
113,,1.32628,0.84843,0.88491,,,,,1.38859,0.96987,0.89663,,,,,,,,
114,,1.32338,0.84892,0.88506,,,,,1.38725,0.96873,0.89531,,,,,,,,
115,,1.32216,0.84684,0.88473,,,,,1.39003,0.97151,0.89482,,,,,,,,
116,,1.31958,0.84728,0.88488,,,,,1.38879,0.97038,0.89461,,,,,,,,
117,,1.31866,0.84581,0.88455,,,,,1.39156,0.97316,0.89437,,,,,,,,
118,,1.31512,0.84404,0.88469,,,,,1.39022,0.97202,0.89525,,,,,,,,
119,,1.31452,0.84448,0.88437,,,,,1.38907,0.97089,0.89413,,,,,,,,
120,,1.31132,0.84276,0.88452,,,,,1.39184,0.97367,0.89297,,,,,,,,
121,,1.31037,0.84153,0.8842,,,,,1.39051,0.97253,0.89302,,,,,,,,
122,,1.30816,0.84196,0.88434,,,,,1.39328,0.97531,0.89351,,,,,,,,
123,,1.30751,0.84032,0.88401,,,,,1.39194,0.97418,0.89284,,,,,,,,
124,,1.30623,0.84075,0.88416,,,,,1.39472,0.97696,0.89361,,,,,,,,
125,,1.30371,0.83917,0.88383,,,,,1.39338,0.97582,0.89336,,,,,,,,
126,,1.30208,0.83959,0.88398,,,,,1.39213,0.97469,0.89259,,,,,,,,
127,,1.29987,0.83803,0.88365,,,,,1.39491,0.97747,0.89243,,,,,,,,
128,,1.29859,0.83846,0.88379,,,,,1.39357,0.97633,0.89178,,,,,,,,
129,,1.29545,0.83694,0.88347,,,,,1.39634,0.97911,0.89189,,,,,,,,
130,,1.29444,0.83738,0.88362,,,,,1.39501,0.97798,0.89191,,,,,,,,
131,,1.29164,0.83587,0.8833,,,,,1.39778,0.98076,0.89187,,,,,,,,
132,,1.29027,0.83628,0.88344,,,,,1.39644,0.97962,0.89069,,,,,,,,
133,,1.28784,0.83481,0.88311,,,,,1.39519,0.97849,0.89162,,,,,,,,
134,,1.28615,0.83519,0.88326,,,,,1.39797,0.98127,0.89062,,,,,,,,
135,,1.28403,0.83378,0.88293,,,,,1.39663,0.98013,0.89056,,,,,,,,
136,,1.28212,0.83416,0.88308,,,,,1.39941,0.98291,0.89023,,,,,,,,
137,,1.27997,0.83274,0.88275,,,,,1.39807,0.98178,0.88984,,,,,,,,
138,,1.27851,0.83312,0.88289,,,,,1.40084,0.98456,0.88989,,,,,,,,
139,,1.27847,0.83171,0.88257,,,,,1.39951,0.98342,0.88978,,,,,,,,
140,,1.27577,0.83209,0.88272,,,,,1.40228,0.98621,0.88932,,,,,,,,
141,,1.27437,0.83068,0.88218,,,,,1.40517,0.98507,0.88878,,,,,,,,
142,,1.27197,0.83107,0.88185,,,,,1.40383,0.99084,0.88852,,,,,,,,
143,,1.27022,0.81964,0.88199,,,,,1.40859,0.98961,0.88866,,,,,,,,
144,,1.26813,0.80827,0.88172,,,,,1.40725,0.99638,0.88899,,,,,,,,
145,,1.26617,0.79691,0.88187,,,,,1.41201,0.99514,0.88893,,,,,,,,
146,,1.26413,0.78556,0.88154,,,,,1.41678,1.00391,0.88861,,,,,,,,
147,,1.26223,0.78018,0.8817,,,,,1.41544,1.00867,0.88809,,,,,,,,
148,,1.26017,0.77682,0.87902,,,,,1.42826,1.01244,0.88794,,,,,,,,
149,,1.25844,0.77345,0.87635,,,,,1.43479,1.01521,0.88812,,,,,,,,
150,,1.25607,0.77009,0.87668,,,,,1.43933,1.0178,0.88415,,,,,,,,
