epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
139,,1.18489,0.63999,0.83553,,,0.40314,0.23744,1.35239,0.95381,0.87737,,,,,,,,
140,,1.18366,0.63846,0.83488,,,0.40297,0.2361,1.35207,0.95507,0.87748,,,,,,,,
141,,1.18242,0.63923,0.83454,,,0.40285,0.235,1.35384,0.95563,0.87732,,,,,,,,
142,,1.18298,0.6377,0.83421,,,0.40269,0.23662,1.35431,0.95528,0.87745,,,,,,,,
143,,1.17975,0.63847,0.83445,,,0.40283,0.23666,1.35398,0.95594,0.87736,,,,,,,,
144,,1.17851,0.63694,0.8338,,,0.40254,0.23596,1.35585,0.95617,0.87747,,,,,,,,
145,,1.17528,0.63771,0.83347,,,0.40248,0.23649,1.35632,0.95631,0.87731,,,,,,,,
146,,1.17205,0.63618,0.83313,,,0.40197,0.23556,1.35879,0.95642,0.87744,,,,,,,,
147,,1.16882,0.63695,0.83338,,,0.40145,0.23555,1.36527,0.95649,0.87735,,,,,,,,
148,,1.16569,0.63542,0.83961,,,0.40218,0.23516,1.37185,0.95653,0.87746,,,,,,,,
149,,1.16256,0.63619,0.83975,,,0.40247,0.235,1.37742,0.95659,0.87758,,,,,,,,
150,,1.1634,0.63981,0.83984,,,0.40195,0.235,1.38363,0.95665,0.87764,,,,,,,,
